Date,MACD,BOL_H,BOL_L,ma_5,ma_20,ma_60,ma_120
1998-09-08,0.5207743669642427,0.0004927261957213876,0.004387079937984805,0.0009650249821556026,0.0006432993584711902,0.00019170064028013745,
1998-09-09,0.5209686143896554,0.0005416589786036447,0.004389343199198521,0.0010221270521056378,0.0006728085033551896,0.00022365074699349542,
1998-09-10,0.5210406581622455,0.0005572005294824135,0.0044333185736705905,0.0010449678800856519,0.0007023176482391889,0.00024282081102150813,
1998-09-11,0.5209711926762182,0.0005598695700268098,0.0044352132242725,0.0010792291220556747,0.0007023176482391889,0.00024282081102150813,
1998-09-14,0.5208815390310478,0.0005496643515107199,0.004432738114635782,0.0010563882940756606,0.0006964158192623894,0.00024921083236417903,
1998-09-15,0.5207770901460382,0.0005456134014879595,0.0044613758615577245,0.0010107066381156308,0.0007082194772159885,0.00025560085370685166,
1998-09-16,0.520821589043106,0.0005559159242383635,0.004482591200511945,0.0009707351891506061,0.0007259249641463888,0.00027477091773486437,
1998-09-17,0.520700352314271,0.0005549137073872171,0.00447685440912376,0.0009136331192005709,0.0007200231351695893,0.0002875509604202079,
1998-09-18,0.5204955919955511,0.0005574242606541796,0.004468879399434186,0.0008565310492505357,0.0007200231351695893,0.0003003310031055497,
1998-09-21,0.5203543885971963,0.0005397702529189863,0.0045090864919429055,0.0008108493932905058,0.0007259249641463888,0.00031311104579089324,
1998-09-22,0.5201542709899207,0.0005517501249799467,0.004480568159224672,0.0007480371163454671,0.0007200231351695893,0.00031950106713356415,
1998-09-23,0.5198816749318883,0.0005841765927903,0.00438531066832305,0.000622412562455388,0.0006964158192623894,0.00031950106713356415,
1998-09-24,0.5198168963830879,0.0005880942789199695,0.0043737983706134565,0.0005710206995003563,0.0006905139902855899,0.00032589108847623505,
1998-09-25,0.5196991245691189,0.0006013517070948635,0.004339380933482937,0.0005310492505353316,0.0006846121613087886,0.00032589108847623505,
1998-09-28,0.5196474087398161,0.0005513162304137433,0.0043113874123395495,0.0004967880085653105,0.0006432993584711902,0.00033228110981890595,
1998-09-29,0.519746096571198,0.0005026137740646325,0.004311367696686582,0.0005253390435403281,0.0006137902135871908,0.00033867113116157685,
1998-09-30,0.5198675222154131,0.000489593065225653,0.004302770481876226,0.0005938615274803704,0.00060198655563359,0.0003514511738469204,
1998-10-01,0.5199400045892169,0.00047014649077914937,0.004292289405077183,0.0006167023554603844,0.000590182897679991,0.0003450611525042495,
1998-10-02,0.5200672902513398,0.00047014649077914937,0.004292289405077183,0.0006738044254104214,0.000590182897679991,0.0003514511738469204,
1998-10-07,0.5204240127446759,0.0004841478042540929,0.004285280399215347,0.0007994289793004988,0.000590182897679991,0.0003642312165322622,
1998-10-08,0.5206459015919828,0.0004770972881531117,0.004288529191456279,0.0008679514632405428,0.000590182897679991,0.00038979130190294753,
1998-10-09,0.5211028365425734,0.0005277366808302906,0.004251080141467502,0.0010049964311206272,0.00060198655563359,0.00042174140861630377,
1998-10-12,0.5220002132996234,0.0008350973004653105,0.00400779360298352,0.0013076374018558172,0.0006551030164247892,0.00045369151532966,
1998-10-13,0.5226726739146221,0.001067719738626384,0.003868583233076572,0.0015874375446109914,0.0007200231351695893,0.000485641622043018,
1998-10-14,0.5231775983172067,0.0012608782323775044,0.0037807277006680143,0.0017930049964311199,0.0007849432539143875,0.0004984216647283598,
1998-10-15,0.523794746512433,0.0015107080983604616,0.003669710520759385,0.0020899357601713063,0.0008675688595895861,0.0005112017074137016,
1998-10-16,0.5242435478214884,0.001717340286227883,0.0035899204407782923,0.002306923625981442,0.0009442926362879852,0.000530371771441716,
1998-10-19,0.5256135809572049,0.002291518193368366,0.003265325142912303,0.0026666666666666653,0.0011095438476383824,0.0005814919421830867,
1998-10-20,0.526631521926818,0.002737615526158548,0.00310805347971768,0.003032119914346894,0.0012806968879655808,0.0006453921556097992,
1998-10-21,0.5271740564130308,0.0030477959206800208,0.003078911507924364,0.003346181299072091,0.0014400462703391785,0.0007029023476938408,
1998-10-22,0.527497287896523,0.003299166994834282,0.003128861891898287,0.003580299785867237,0.0015993956527127762,0.0007668025611205533,
1998-10-23,0.5272691165768374,0.0034107163382492995,0.003299584673636991,0.0037059243397573162,0.0017410395481559735,0.0008051426891765821,0.0
1998-10-26,0.5264562714401194,0.0034272151679258095,0.0034744174800275113,0.0033747323340471086,0.0018354688117847712,0.0008243127532045948,0.0
1998-10-27,0.5258769531373645,0.003433252202713106,0.003692327066414215,0.003077801570306924,0.0019417017333671696,0.0008307027745472657,0.0
1998-10-28,0.5255198863858465,0.0034395165627541108,0.003929452731438974,0.002877944325481799,0.0020538364839263693,0.0008562628599179511,6.685475136717495e-06
1998-10-29,0.525030490845809,0.003421334991860415,0.004151910387434489,0.002643825838686651,0.002148265747555167,0.0008626528812606237,6.685475136717495e-06
1998-10-30,0.5247535226951842,0.0034015532106169803,0.004395100996231912,0.002563882940756602,0.0022544986691375654,0.0008626528812606237,1.337095027343499e-05
1998-11-02,0.5254265450526762,0.0035204348706285825,0.0046244638810871725,0.0029064953604568166,0.002425651709464762,0.00089460298797398,4.01128508203067e-05
1998-11-03,0.5258392382686751,0.003580287443498949,0.0049042669424252065,0.0031920057102069943,0.002590902920815161,0.000939333137372678,8.022570164061514e-05
1998-11-04,0.5265090568002727,0.0037430708873363236,0.005087121090579981,0.0035517487508922195,0.0027679577901191573,0.0010032333507993905,0.00012033855246092358
1998-11-05,0.5269681917314101,0.0038321836621058383,0.0053658849471973444,0.003951463240542469,0.0029450126594231553,0.0010671335642261047,0.0001671368784179495
1998-11-06,0.5272243418426489,0.003910914902018992,0.005608442653372785,0.0042997858672376875,0.003104362041796753,0.001137423798995488,0.00020056425410153872
1998-11-09,0.5283931247605566,0.004369144525719614,0.005482179507392878,0.0046766595289079215,0.0032991223980311495,0.0012396641404782294,0.00024736258005856465
1998-11-10,0.5285516315571102,0.004528179907750361,0.005606585345191418,0.00488222698072805,0.003440766293474347,0.0013163443965902837,0.00028078995574215386
1998-11-11,0.5281537859845982,0.0045635533585938245,0.0058095396579363415,0.004859386152748036,0.003558802873010346,0.0013802446100169962,0.0003075318562890256
1998-11-12,0.5274471619592285,0.004565899386974662,0.005965163065179942,0.0047451820128479654,0.003629624820731944,0.0014377548021010378,0.0003342737568358973
1998-11-13,0.5270950364420222,0.004586638628983827,0.006141931324081373,0.004716630977872948,0.0037240540843607433,0.001508045036870423,0.0003743866076562057
1998-11-16,0.5272453020925187,0.004706146156568714,0.00611665283290524,0.004539614561027837,0.0037771705451519425,0.001584725292982479,0.00042787040874994915
1998-11-17,0.5271010393325212,0.004780409181155118,0.006115576995090348,0.004499643112062812,0.003818483347989541,0.0016614055490945332,0.0004679832595702576
1998-11-18,0.5269156150462293,0.004860822417211906,0.006136191548702289,0.004573875802997858,0.00387159980878074,0.0017380858052065892,0.0005147815855272835
1998-11-19,0.5269492932803244,0.004982573278915686,0.0061510163584787055,0.004807994289793004,0.003948323585479139,0.0018211560826613162,0.0005548944363475902
1998-11-20,0.5267497474367703,0.005054914407131761,0.006262180970535183,0.004922198429693076,0.004042752849107939,0.0018978363387733704,0.0005883218120311812
1998-11-23,0.5272441278289343,0.0051920503491704045,0.006493997344369402,0.005099214846538187,0.004225709547388736,0.001993686658913441,0.0006484910882616421
1998-11-24,0.5275574343485079,0.0052929081309817955,0.006749546432624239,0.005321912919343326,0.004402764416692732,0.0020959270003961805,0.0007019748893553855
1998-11-25,0.5288897783049301,0.005756361275038702,0.006734677467195029,0.005875802997858671,0.004650641233718328,0.0022109473845642637,0.0007688296407225657
1998-11-26,0.529763223474576,0.006042609526615457,0.006939771640350877,0.006338329764453961,0.004904419879720725,0.002325967768732347,0.0008289989169530266
1998-11-27,0.5300955719428203,0.006185435579214759,0.007251010369114543,0.006772305496074232,0.005128689380839121,0.00244098815290043,0.0008958536683202067
