,Date,Open,High,Low,Close,Volume,Change,C-Close,C-Change,Difference,C-Difference
193,1999-02-11,4470,4617,4284,4314,948520,-3.468337435667935,1175.35,-0.19954147915429538,-155,-2.3500000000001364
194,1999-02-12,4538,4655,4430,4586,1071610,6.30505331478906,1175.55,0.017016207938064874,272,0.20000000000004547
195,1999-02-18,4671,4803,4516,4601,920970,0.3270824247710423,1181.9,0.5401726851261228,15,6.350000000000136
196,1999-02-19,4430,4586,4275,4555,605390,-0.9997826559443599,1204.5,1.912175310940004,-46,22.59999999999991
197,1999-02-22,4469,4702,4352,4430,754900,-2.7442371020856204,1216.5,0.9962640099626401,-125,12.0
198,1999-02-23,4439,4571,4205,4283,423550,-3.3182844243792324,1211.5,-0.4110152075626798,-147,-5.0
199,1999-02-24,4430,4430,4057,4057,330390,-5.276675227644175,1217.5,0.4952538175815105,-226,6.0
200,1999-02-25,3886,4267,3886,4073,510830,0.3943800838057678,1224.0,0.5338809034907598,16,6.5
201,1999-02-26,4228,4267,4096,4236,486180,4.001964154186104,1223.5,-0.04084967320261438,163,-0.5
202,1999-03-02,4407,4508,4329,4477,730760,5.689329556185081,1224.35,0.06947282386595088,241,0.849999999999909
203,1999-03-03,4477,4508,4322,4392,391940,-1.8985928076837169,1229.3,0.40429615714461115,-85,4.9500000000000455
204,1999-03-04,4508,4733,4431,4493,1111270,2.2996357012750455,1239.5,0.8297405027251318,101,10.200000000000045
205,1999-03-05,4383,4609,4337,4524,473080,0.6899621633652349,1241.75,0.18152480839048005,31,2.25
206,1999-03-08,4741,5200,4741,5200,2331400,14.942528735632186,1239.0,-0.22146164686933761,676,-2.75
207,1999-03-09,5433,5666,5246,5324,2471500,2.3846153846153846,1235.35,-0.2945924132364884,124,-3.650000000000091
208,1999-03-10,5246,5596,5106,5596,1432560,5.108940646130729,1232.95,-0.19427692556764187,272,-2.3999999999998636
