Date,Open,High,Low,Close,Volume,Change,C-Close,C-Change,I-Close,I-Change,Difference,C-Difference,I-Difference,MFI,ADI,OBV,MACD,CCI,RSI,BOL_H,BOL_L,ma_5,ma_20,ma_60,ma_120
2007-03-26,58440,59027,57756,57855,417438,-1.1684518013631937,938.5,0.11734585022402633,2455.63,0.27358887350803307,-684,1.1000000000000227,6.700000000000273,49.58794532212885,-97218.11794891366,6889808,408.45438587792887,46.90966253838123,53.60061566707479,59866.454203479625,55158.44579652037,58382.0,57512.0,55607.0,55607.0
2007-03-27,57561,59613,57561,58930,772455,1.8580935096361593,940.9,0.25572722429408384,2437.43,-0.7411540012135489,1075,2.3999999999999773,-18.200000000000273,47.63139948136298,161019.76216804542,7662263,482.073324886871,81.30081300813002,58.426859120866006,59950.49612861394,55133.10387138607,58441.0,57542.0,55665.0,55665.0
2007-03-28,59320,60395,59027,60298,1242595,2.3213982691328696,940.5,-0.04251248804336032,2417.1,-0.8340752349811043,1368,-0.39999999999997726,-20.329999999999927,50.21667455832108,1227398.804565706,8904858,643.3864728296394,161.81727892981596,63.613640365168,60175.111120545596,55006.2888794544,58813.0,57591.0,55745.0,55745.0
2007-03-29,60102,62643,60004,61080,2129946,1.2968921025572988,940.5,0.0,2417.88,0.03227007571057052,782,0.0,0.7800000000002001,62.455976704248314,834339.4252553612,11034804,824.8211446044079,210.21442708420352,66.20896632575406,60715.21145839849,54739.88854160152,59340.0,57728.0,55835.0,55835.0
2007-03-30,61665,63425,61568,62741,1851088,2.7193844138834318,940.85,0.03721424774056595,2421.64,0.15550813109003603,1661,0.35000000000002274,3.7599999999997635,70.00772678513042,1321782.6304249899,12885892,1090.0725695606598,236.47677567173525,70.94881726624033,61691.27629971753,54320.92370028247,60181.0,58006.0,55951.0,55951.0
2007-04-02,63327,64206,61665,62936,1253153,0.31080154922618386,937.25,-0.3826327257267389,2422.26,0.02560248426687475,195,-3.6000000000000227,0.6200000000003456,75.08258522266202,1322275.803585163,14139045,1301.0237136766882,211.13796520080402,71.45504075960544,62481.143871023865,54244.45612897614,61197.0,58363.0,56063.0,56065.0
2007-04-03,62740,63034,61568,61959,1118646,-1.5523706622600737,936.7,-0.058682315284070904,2450.33,1.1588351374336243,-977,-0.5499999999999545,28.06999999999971,72.17518946170586,800342.7449221344,13020399,1373.5350235832375,148.27149932587523,65.31416264511721,62964.28101922521,54171.71898077479,61803.0,58568.0,56157.0,56160.0
2007-04-04,62740,62838,61959,62350,890364,0.6310624767991736,936.3,-0.04270310665101857,2458.69,0.3411785351360889,391,-0.40000000000009095,8.360000000000127,78.64666739681071,702088.6971405644,13910763,1445.8839413324386,129.79088656337296,66.55302024819913,63469.63860440754,54106.16139559246,62213.0,58788.0,56273.0,56258.0
2007-04-05,62056,62350,61079,61764,1083933,-0.9398556535685646,933.05,-0.3471109687066111,2471.34,0.5145016248490086,-586,-3.25,12.650000000000091,76.45744915285054,786517.7821130271,12826830,1439.3438177304488,91.20300040621214,62.92556650334922,63801.01206064349,54087.58793935652,62350.0,58944.0,56389.0,56344.0
2007-04-09,62154,62350,61177,61959,423412,0.31571789391878763,933.0,-0.0053587696264888835,2469.18,-0.08740197625580895,195,-0.049999999999954525,-2.1600000000003092,75.84644600836965,927655.1154463603,13250242,1433.3725662732686,82.69740436516255,63.63584600487408,64149.45921983368,54149.54078016632,62194.0,59150.0,56522.0,56431.0
2007-04-10,62154,63229,62056,62643,958213,1.1039558417663293,933.9,0.09646302250803615,2477.61,0.34140888878090264,684,0.8999999999999773,8.430000000000291,74.96995489571236,928472.0063244507,14208455,1466.92360782365,95.09057013134334,66.08993102481851,64560.58273427536,54275.91726572464,62135.0,59418.0,56692.0,56525.0
2007-04-11,63620,64695,63327,64207,1646671,2.4966875788196603,932.25,-0.17667844522967954,2459.31,-0.7386150362647947,1564,-1.6499999999999773,-18.300000000000182,75.69131255844803,1400325.0998917022,15855126,1601.2564910004585,121.27564020743824,70.92212263700685,65188.55717180026,54380.94282819974,62585.0,59785.0,56882.0,56640.0
2007-04-12,64206,64206,63229,63816,1260508,-0.6089678695469342,931.7,-0.058997050147487747,2480.32,0.8543046626899503,-391,-0.5499999999999545,21.01000000000022,72.18010363312297,1654490.9913963082,14594618,1657.0642314837096,101.24669114507722,68.30169804325304,65547.71314173512,54813.38685826489,62878.0,60181.0,57071.0,56745.0
2007-04-13,63815,63913,62643,63034,921052,-1.2253980193055034,929.2,-0.2683267146077063,2491.94,0.4684879370403775,-782,-2.5,11.61999999999989,69.8101424044132,1300574.94730182,13673566,1619.5225554351637,78.63113055520381,63.266909438935784,65527.60000277983,55634.89999722017,63132.0,60581.0,57249.0,56836.0
2007-04-16,62936,62936,61861,62155,806386,-1.394485515753403,931.75,0.27442961687472606,2518.33,1.0590142619806202,-879,2.5499999999999545,26.389999999999873,68.0295896241172,935263.3361390292,12867180,1501.533805762534,47.00793110806483,58.084006119864085,65334.06755205088,56483.23244794912,63171.0,60909.0,57433.0,56912.0
2007-04-17,62740,63620,61470,62155,948204,0.0,928.8,-0.31660853233163894,2516.95,-0.05479821945496059,0,-2.9500000000000455,-1.3800000000001091,68.45855942236793,591263.7454413548,13815384,1391.9809813094762,45.773513985157386,58.08400611986408,65131.042448074906,57262.85755192509,63073.0,61197.0,57615.0,56986.0
2007-04-18,61763,63229,61568,63034,1123378,1.4142064194352828,928.25,-0.05921619293711828,2510.5,-0.25626253997893556,879,-0.5499999999999545,-6.449999999999818,68.33252340100239,1450874.4847550213,14938762,1360.4056233327574,48.987612001251016,61.72087662684364,65243.97906889747,57589.72093110253,62839.0,61417.0,57809.0,57070.0
2007-04-19,62252,63718,61470,61861,1489001,-1.8609004664149509,928.75,0.05386479935362241,2505.35,-0.20513841864170848,-1173,0.5,-5.150000000000091,57.74790782062238,479844.4731891849,13449761,1226.5912474440702,34.074026175970914,54.87797960911067,65165.31699635371,58010.38300364629,62448.0,61588.0,57969.0,57136.0
2007-04-20,61470,62056,59711,60884,1904420,-1.5793472462456153,927.55,-0.12920592193809372,2526.39,0.839802821961002,-977,-1.2000000000000455,21.039999999999964,46.03746693023122,480656.59259217,11545341,1029.8353546829167,-43.415790649317756,49.91419191700213,65005.01678296182,58414.98321703818,62018.0,61710.0,58120.0,57186.0
2007-04-23,60884,61763,59809,60493,974784,-0.6422048485644833,926.4,-0.12398253463424909,2523.67,-0.10766350405122724,-391,-1.1499999999999773,-2.7199999999998,38.84232609912545,188321.16577538394,10570557,832.7549788195247,-66.52084205953994,48.041366424184446,64825.00410134611,58790.395898653886,61685.0,61808.0,58260.0,57230.0
2007-04-24,60102,60395,57952,59125,1569651,-2.2614186765410875,927.25,0.09175302245250677,2524.54,0.03447360391809907,-1368,0.8500000000000227,0.8699999999998909,37.93154897454039,125997.7327012947,9000906,559.728986575341,-166.57282397150493,42.090846049514525,64591.972581455506,59150.42741854449,61079.0,61871.0,58374.0,57255.0
2007-04-25,58440,58831,57170,58148,1571707,-1.6524312896405922,926.75,-0.05392289026691831,2547.89,0.9249209757025006,-977,-0.5,23.34999999999991,31.218020663958598,405138.951846388,7429199,261.50373354557087,-224.3179584738968,38.42983326805798,64737.06133537093,58927.13866462907,60102.0,61832.0,58465.0,57267.0
2007-04-26,57952,60884,57952,60298,1664010,3.6974616495838206,928.9,0.2319935257620693,2554.46,0.2578604256855737,2150,2.1499999999999773,6.570000000000164,39.62451035249208,1403998.9791315177,9093209,196.38134175818413,-124.27711864902298,48.95231581472227,64737.06133537093,58927.13866462907,59790.0,61832.0,58599.0,57306.0
2007-04-27,60297,61470,59711,60298,815826,0.0,929.1,0.021530842932505703,2557.21,0.10765484681693979,0,0.20000000000004547,2.75,40.9144221022662,1132675.3804959292,9909035,143.12156082210277,-73.29946741375528,48.95231581472227,64757.83503756955,58828.16496243045,59672.0,61793.0,58741.0,57344.0
2007-04-30,60786,61568,59711,61177,631635,1.457759793027961,930.85,0.1883543213862878,2525.09,-1.2560564052228753,879,1.75,-32.11999999999989,39.71328024694902,1498322.9976203232,10540670,169.88245540697972,-48.86817546188903,52.77883881929518,64657.9167560938,58771.683243906205,59809.0,61715.0,58910.0,57392.0
2007-05-02,60688,61861,60688,61764,638107,0.9595109273092829,930.1,-0.08057152065316646,2557.84,1.2969834738563775,587,-0.75,32.75,35.70251675582672,2030894.8245597947,11178777,235.73919668679446,-11.176615082289441,55.1942757128741,64545.90909262508,58766.490907374915,60337.0,61656.0,59078.0,57446.0
2007-05-03,61763,61959,61177,61764,557626,0.0,927.0,-0.3332974948930247,2565.46,0.2979076095455498,0,-3.1000000000000227,7.619999999999891,41.04457949425137,2310420.9012861373,11736403,284.64987208622915,1.4140082356424233,55.1942757128741,64533.32114191126,58759.57885808873,61060.0,61646.0,59223.0,57498.0
2007-05-04,61763,63229,61275,62252,855932,0.7901042678582995,927.6,0.06472491909385358,2572.15,0.26077194733108505,488,0.6000000000000227,6.690000000000055,46.89201710375391,2310420.9012861373,12592335,358.6551035577286,37.420175857839524,57.30016861467594,64523.957082630775,58759.14291736923,61451.0,61642.0,59356.0,57556.0
2007-05-07,62252,64890,62154,64011,1300080,2.825612028529204,922.35,-0.5659767141009056,2570.95,-0.04665357774625402,1759,-5.25,-1.2000000000002728,53.79509633165304,2775142.480233506,13892415,552.8682609378811,106.50817730527854,63.88854583283596,64816.1933171073,58691.6066828927,62194.0,61754.0,59506.0,57632.0
2007-05-08,63815,66552,63815,66259,2260241,3.5118963928074862,922.95,0.06505122784192799,2571.75,0.03111690231238188,2248,0.6000000000000227,0.8000000000001819,57.6462636025787,4551459.0279134475,16152656,878.0567089031028,172.92445762330414,70.21385486946696,65608.06368964081,58329.7363103592,63210.0,61969.0,59664.0,57734.0
